127.0.0.1 - - [19/Jul/2018:11:44:44 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Jul/2018:11:44:52 +0530] "GET /EmployeeManagement/ HTTP/1.1" 200 1039
0:0:0:0:0:0:0:1 - - [19/Jul/2018:11:44:52 +0530] "GET /EmployeeManagement/images/prab.png HTTP/1.1" 200 8729
0:0:0:0:0:0:0:1 - - [19/Jul/2018:11:44:52 +0530] "GET /EmployeeManagement/images/logo11.png HTTP/1.1" 200 15817
0:0:0:0:0:0:0:1 - - [19/Jul/2018:11:45:05 +0530] "GET /EmployeeManagement/ HTTP/1.1" 200 1039
0:0:0:0:0:0:0:1 - - [19/Jul/2018:11:45:10 +0530] "GET /EmployeeManagement/images/logo11.png HTTP/1.1" 200 15817
0:0:0:0:0:0:0:1 - - [19/Jul/2018:11:45:10 +0530] "GET /EmployeeManagement/images/prab.png HTTP/1.1" 200 8729
0:0:0:0:0:0:0:1 - - [19/Jul/2018:11:45:11 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/Jul/2018:11:45:29 +0530] "POST /EmployeeManagement/LoginServlet HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [19/Jul/2018:11:45:30 +0530] "GET /EmployeeManagement/images/prab1.JPEG HTTP/1.1" 200 5748
0:0:0:0:0:0:0:1 - - [19/Jul/2018:11:45:35 +0530] "GET /EmployeeManagement/allEmp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [19/Jul/2018:11:45:39 +0530] "GET /EmployeeManagement/jsps/EmployeeHomePage.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [19/Jul/2018:11:45:41 +0530] "GET /EmployeeManagement/empReg HTTP/1.1" 200 7538
0:0:0:0:0:0:0:1 - - [19/Jul/2018:11:48:12 +0530] "POST /EmployeeManagement/RegFormSubmit HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [19/Jul/2018:11:48:23 +0530] "GET /EmployeeManagement/jsps/EmployeeHomePage.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [19/Jul/2018:11:48:25 +0530] "GET /EmployeeManagement/allEmp HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [19/Jul/2018:11:48:30 +0530] "GET /EmployeeManagement/DeleteServlet?empid=1 HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [19/Jul/2018:11:48:47 +0530] "GET /EmployeeManagement/jsps/EmployeeHomePage.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [19/Jul/2018:11:48:50 +0530] "GET /EmployeeManagement/empReg HTTP/1.1" 200 7538
0:0:0:0:0:0:0:1 - - [19/Jul/2018:11:49:34 +0530] "POST /EmployeeManagement/RegFormSubmit HTTP/1.1" 200 1339
0:0:0:0:0:0:0:1 - - [19/Jul/2018:11:49:45 +0530] "GET /EmployeeManagement/jsps/EmployeeHomePage.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [19/Jul/2018:11:49:47 +0530] "GET /EmployeeManagement/empReg HTTP/1.1" 200 7538
0:0:0:0:0:0:0:1 - - [19/Jul/2018:11:50:08 +0530] "POST /EmployeeManagement/RegFormSubmit HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [19/Jul/2018:11:50:16 +0530] "GET /EmployeeManagement/EmpDetailsServlet?empid=1 HTTP/1.1" 200 7810
0:0:0:0:0:0:0:1 - - [19/Jul/2018:11:50:35 +0530] "GET /EmployeeManagement/EmpDetailsServlet?empid=2 HTTP/1.1" 200 7780
0:0:0:0:0:0:0:1 - - [19/Jul/2018:11:50:50 +0530] "GET /EmployeeManagement/DeleteServlet?empid=2 HTTP/1.1" 200 1339
0:0:0:0:0:0:0:1 - - [19/Jul/2018:11:50:50 +0530] "GET /EmployeeManagement/DeleteServlet?empid=1 HTTP/1.1" 200 919
